iter	Logloss
0	0.2125308722
1	0.06478061464
2	0.02103750971
3	0.00792811747
4	0.00327308891
5	0.001624428674
6	0.00101764802
7	0.0007039900786
8	0.0005367269753
9	0.0004106313377
10	0.0003340648984
11	0.0002604553917
12	0.0002604273072
13	0.0002604273072
14	0.0002604273072
15	0.000260447123
16	0.000260447123
17	0.000260447123
18	0.0002604280633
19	0.0002604280633
20	0.0002604066939
21	0.000260403504
22	0.0002101529072
23	0.0002101120491
24	0.0002101025344
25	0.0002100363208
26	0.0002100386112
27	0.0002100171811
28	0.0002099674195
29	0.0002099931668
30	0.0002099891862
31	0.0002099891862
32	0.0002099891862
33	0.0002099259708
34	0.0002099259708
35	0.0002099519761
36	0.0002099519761
37	0.0002099519761
38	0.0002099212342
39	0.0002099157815
40	0.0002099057563
41	0.0002099064751
42	0.0002098424829
43	0.0002097883931
44	0.0002097162853
45	0.0002097162853
46	0.0002097208494
47	0.0002097023072
48	0.0002097023072
49	0.0002097263173
50	0.0002097263173
51	0.0002096837207
52	0.0002096837207
53	0.0002096834323
54	0.0002096412717
55	0.0002096396216
56	0.0002096396216
57	0.0002096396216
58	0.0002096040823
59	0.0002095653613
60	0.0002095694799
61	0.0002095359509
62	0.0002095225426
63	0.0002095225426
64	0.0002095225426
65	0.0002095225426
66	0.0002095225426
67	0.0002095225426
68	0.0002095225426
69	0.0002095225426
70	0.0002095225426
71	0.0002095225426
72	0.0002095225426
73	0.0002095225426
74	0.0002095225426
75	0.0002095225426
76	0.0002095225426
77	0.0002095225426
78	0.0002095225426
79	0.0002095225426
80	0.0002095225426
81	0.0002095225426
82	0.0002095225426
83	0.0002095225426
84	0.0002095225426
85	0.0002095225426
86	0.0002095225426
87	0.0002095225426
88	0.0002095225426
89	0.0002095225426
90	0.0002095225426
91	0.0002095225426
92	0.0002095225426
93	0.0002095225426
94	0.0002095225426
95	0.0002095225426
96	0.0002095225426
97	0.0002095225426
98	0.0002095225426
99	0.0002095225426
